CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
09359020,LOIC-1800 SUPER - MECFC-1,Sto Ant. Leste,MT,2003-05-26,13119.24
08339020,LOIC-1800 SUPERCFC-1,Pedro Afonso,TO,2003-05-27,11610.78
08339020,LOIC-1800 SUPERCFC-1,Nova Crixas,GO,2003-05-28,9638.81
08342020,LOIC-1300 SUPERCFC-1,Sao Carlos,SP,2003-05-28,8308.00
013026020,LILC-180AP - FLCRC-1,Bauru,SP,2003-05-30,17100.96
09365020,LEC-608->FLLEC-6,Bandeirantes,PR,2003-05-30,18887.62
010975020,SMART 9000SMART,Sete Quedas,MS,2003-05-30,11400.47
08359020,LEC - 7H - - REDUTOR BERLEC -,Inhumas,GO,2003-06-02,19908.57
09339020,TMY 753 - FL1TMW 7,Martinho Campos,MG,2003-06-02,34819.58
010665020,RY-110C - FLRW-11,Barbosa,SP,2003-06-05,46453.34
08339020,LOIC-1800 SUPERCFC-1,Sao Caetano Do,SP,2003-06-09,9359.63
08401020,VM-13CVM-13,Aruana,GO,2003-06-12,45942.86
09400020,RY-150E - FLRW-15,Macatuba,SP,2003-06-12,31649.51
08419020,GILON 16000 - FLGILON,Macatuba,SP,2003-06-12,12251.41
08422020,GILON 18000HGILON,Corumba,MS,2003-06-16,28586.67
08417020,GILON 11000 (DT DE LINHA)GILON,Divinopolis,MG,2003-06-20,9699.05
08343020,LOIC-1800 SUPER (USADACFC-1,Itaquirai,MS,2003-06-24,9648.00
08414020,VM-450 -> FLVM-45,Itaquirai,MS,2003-06-24,15314.27
08364020,TMY 1003 -> FLTMW 1,Goiania,GO,2003-06-25,30628.57
010665020,RY-110C - FLRW-11,Valparaiso,SP,2003-06-25,37775.24
09597020,TMY 603 (USADTMW 6,Lins,SP,2003-06-27,24502.81
010095020,RY-150T - FLRW-15,Corumbaiba,GO,2003-06-30,53089.52
09937020,RY-250C/HIDR.1 - FLRW-25,Lins,SP,2003-07-01,86780.96
08389020,TMY 603LIL - FTMW 6,Contagem,MG,2003-07-03,45942.81
08417020,GILON 11000 (DT DE LINHA)GILON,Londrina,PR,2003-07-04,13068.19
013146020,CMC-170 CM --> DT DECMC-1,Itaquirai,MS,2003-07-07,4083.81
09597020,TMY 603 (USADTMW 6,Cruzalia,SP,2003-07-08,29480.00
09339020,TMY 753 - FL1TMW 7,Pitangui,MG,2003-07-08,24982.71
09937020,RY-250C/HIDR.1 - FLRW-25,Lins,SP,2003-07-10,86780.96
110975021,90009000,Goiania,GO,2003-07-11,4288.00
08339020,LOIC-1800 SUPERCFC-1,Recife,RE,2003-07-17,12235.59
08348020,LILC-200AP - FLCRC-2,Terenos,MS,2003-07-17,7657.15
08710020,TMY 1303 - FLTMW 1,Mirante Do Paran,SP,2003-07-18,43390.48
08350020,LOIC-2000S - MECFC-2,Patos De Minas,MG,2003-07-21,16335.24
08413020,VM-250 -> FLVM-25,Borborema,SP,2003-07-21,8933.34
09360020,LOIC-1800 SUPER MEC - MECFC-1,Campina Verde,MG,2003-07-22,9459.12
013585020,TMY 3400 - USADTMW 3,Sao Carlos,SP,2003-07-22,3376.80
013026020,LILC-180AP - FLCRC-1,Mutunopolis,GO,2003-07-23,17626.24
08417020,GILON 11000 (DT DE LINHA)GILON,Mutunopolis,GO,2003-07-23,14046.78
09361020,LILC-150AP 24 FACAS - FLCRC-1,Gurinhata,MG,2003-07-23,13778.27
08364020,TMY 1003 -> FLTMW 1,Bras. De Minas,MG,2003-07-28,40327.62
08342020,LOIC-1300 SUPERCFC-1,Itai,SP,2003-07-29,10012.02
08700020,TMY 353 - FL1TMW 3,Guararapes,SP,2003-07-29,18093.83
014668020,RY-200C - FLRW-20,Novo Horizonte,SP,2003-07-31,71466.67
08340020,LOIC-1800 SUPERCFC-1,Dois Corregos,SP,2003-08-05,11901.24
08417020,GILON 11000 (DT DE LINHA)GILON,Nova Xavantina,MT,2003-08-06,12466.19
08339020,LOIC-1800 SUPERCFC-1,Padre Bernardo,GO,2003-08-12,11740.96
