CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
1,Tipo_A,SAO CAETANO DO,SP,2003-08-14,1,10507.89
1,Tipo_A,RIO VERDE,GO,2003-08-15,1,8608.0484
14,Tipo_H_6-10,ARAPOTI,PR,2003-08-18,1,22881.9073
19,Tipo_K,PIRAJUI,SP,2003-08-19,1,8629.5242
19,Tipo_K,PIRAJUI,SP,2003-08-19,1,8629.5242
1,Tipo_A,AURIFLAMA,SP,2003-08-22,1,9642.7326
1,Tipo_A,NOVA ANDRADINA,MS,2003-08-28,1,9564.7178
1,Tipo_A,PALMEIRA,PR,2003-09-03,1,9183.6105
19,Tipo_K,DOURADOS,MS,2003-09-03,1,11323.8105
1,Tipo_A,SALVADOR DO SUL,RS,2003-09-08,1,7659.1936
19,Tipo_K,SALVADOR DO SUL,RS,2003-09-08,1,11174.6484
1,Tipo_A,JUATUBA,MG,2003-09-12,1,14234.8105
19,Tipo_K,PARANAIGUARA,GO,2003-09-19,1,11346.4589
19,Tipo_K,PIRAJUI,SP,2003-09-19,1,9109.0315
19,Tipo_K,PIRAJUI,SP,2003-09-19,1,9109.0315
1,Tipo_A,UBERLANDIA,MG,2003-09-22,1,7618.9726
19,Tipo_K,AURIFLAMA,SP,2003-09-25,1,10331.5039
19,Tipo_K,AGUA CLARA,MS,2003-09-29,1,11174.6484
2,Tipo_B,PIRACICABA,SP,2003-10-01,1,16405.248
14,Tipo_H_6-10,QUIRINOPOLIS,GO,2003-10-02,1,33971.4315
1,Tipo_A,UBERLANDIA,MG,2003-10-08,1,8882.5557
19,Tipo_K,AGUA CLARA,MS,2003-10-14,1,11174.6484
1,Tipo_A,PALMEIRA,PR,2003-10-17,1,9271.8589
13,Tipo_H_2-5,PASSOS,MG,2003-10-21,1,16667.0863
1,Tipo_A,,BA,2003-10-24,1,8434.274
1,Tipo_A,BRAS. DE MINAS,MG,2003-10-30,1,6765
1,Tipo_A,MATUPA,MT,2003-11-10,1,8881.3831
1,Tipo_A,PITANGA,PR,2003-11-12,1,8881.3831
