CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
9,Tipo_F_15-20,SANTA MARIA DAS BARREIRAS,PA,2018-06-21,1,116850
8,Tipo_F_0-11_Z,SANTA VITORIA,MG,2020-04-02,1,61500
14,Tipo_H_6-10,MORRO DA GARCA,MG,2017-05-26,1,53300
1,Tipo_A,JESUÂNIA,MG,2018-06-15,1,18589.40000000
1,Tipo_A,MOCOCA,SP,2017-03-30,1,17425
7,Tipo_F_0-11,CAMPO MOURÃO,PR,2015-07-21,1,57583.68000000
7,Tipo_F_0-11,CAMPO MOURÃO,PR,2015-09-24,1,58795.64000000
7,Tipo_F_0-11,CAMPO MOURÃO,PR,2016-07-07,1,39770
1,Tipo_A,CAMPO MOURÃO,PR,2016-09-05,1,16381.14000000
1,Tipo_A,CAMPO MOURÃO,PR,2016-09-09,1,16381.14000000
9,Tipo_F_15-20,CAMPO MOURÃO,PR,2017-04-05,1,138848.14000000
9,Tipo_F_15-20,CAMPO MOURÃO,PR,2017-04-13,1,120924.37500000
9,Tipo_F_15-20,CAMPO MOURÃO,PR,2017-04-13,1,120924.37500000
7,Tipo_F_0-11,CAMPO MOURÃO,PR,2017-06-08,1,38811.01000000
1,Tipo_A,CAMPO MOURÃO,PR,2018-04-20,1,19475
2,Tipo_B,CAMPO MOURÃO,PR,2018-04-20,1,45551
13,Tipo_H_2-5,CAMPO MOURÃO,PR,2018-05-04,1,36699.10000000
17,Tipo_J_2-8,CAMPO MOURÃO,PR,2019-01-29,1,27028.02000000
9,Tipo_F_15-20,CAMPO MOURÃO,PR,2020-09-29,1,117231.30000000
1,Tipo_A,REALEZA,PR,2019-04-25,1,22563.53000000
18,Tipo_J_9,REALEZA,PR,2019-06-25,1,36875.40000000
17,Tipo_J_2-8,REALEZA,PR,2019-10-10,1,21593.88000000
4,Tipo_D,MEDIANEIRA,PR,2017-09-22,1,12470.15000000
7,Tipo_F_0-11,MARINGA,PR,2015-06-18,1,47614.94000000
7,Tipo_F_0-11,MARINGA,PR,2015-08-26,1,58795.64000000
7,Tipo_F_0-11,MARINGA,PR,2016-05-20,1,73268.64000000
7,Tipo_F_0-11,MARINGA,PR,2016-08-26,1,64877.58000000
7,Tipo_F_0-11,MARINGA,PR,2016-08-29,1,63647.58000000
1,Tipo_A,MARINGA,PR,2017-03-13,1,16441
7,Tipo_F_0-11,MARINGA,PR,2017-06-19,1,48934.32000000
1,Tipo_A,MARINGA,PR,2017-11-29,1,16715.70000000
2,Tipo_B,MARINGA,PR,2018-03-13,1,44690
7,Tipo_F_0-11,MARINGA,PR,2018-03-15,1,51509.94000000
7,Tipo_F_0-11,MARINGA,PR,2018-06-05,1,46155.34000000
14,Tipo_H_6-10,MARINGA,PR,2018-10-29,1,55315.90850000
8,Tipo_F_0-11_Z,MARINGA,PR,2019-03-15,1,57365.15000000
1,Tipo_A,MARINGA,PR,2019-04-03,1,21115
18,Tipo_J_9,MARINGA,PR,2019-06-25,1,36457.20000000
1,Tipo_A,MARINGA,PR,2020-03-06,1,22693.50000000
17,Tipo_J_2-8,MARINGA,PR,2020-05-14,1,26377.35000000
17,Tipo_J_2-8,PALOTINA,PR,2019-09-05,1,21593.88000000
4,Tipo_D,CASCAVEL,PR,2017-04-27,1,12159.37000000
13,Tipo_H_2-5,CASCAVEL,PR,2018-05-14,1,38228.40000000
1,Tipo_A,CASCAVEL,PR,2018-08-31,1,19676.31000000
1,Tipo_A,CASCAVEL,PR,2018-09-10,1,14254.88000000
1,Tipo_A,CASCAVEL,PR,2019-05-06,1,22563.53000000
14,Tipo_H_6-10,CASCAVEL,PR,2020-07-01,1,56149.50000000
17,Tipo_J_2-8,CASCAVEL,PR,2020-08-03,1,29934.10000000
1,Tipo_A,TOLEDO,PR,2016-03-28,1,12939.60000000
